A11,A12,A21,A22,B1,step_amp,best_Kp,best_Ki,best_Kd,best_Score
-4.36040608466594,-0.182683665842189,5.39205469114716,-9.62130650981093,1.85511314162065,1.17904104693701,17.4734529839107,35.9542810342049,0,204.395204497208
-3.84353211793518,-0.185217135106478,4.81724883348661,-9.15034246779089,1.96204304699845,1.15538836253432,16.030941306542,30.1430517759378,0,198.440670885807
-3.67592163212961,-0.181579740945719,4.63273709546072,-10.9252742233317,1.90656850394375,1.223240234528,23.5578910043638,61.6067645803504,0.234556494922767,919.407833026324
-4.1582329334286,-0.185067389187495,4.599194663991,-9.2384870356694,2.14243462713514,1.11043665004944,12.1002161212574,27.3489082040614,0,184.427718182153
-4.230500809439,-0.180198889168135,4.84106785213298,-10.6246923370611,1.93413720606441,0.922727024553668,6.52457296579227,21.7936626122042,0,155.2874493623
-3.87399821936429,-0.188897441193322,5.25422531022763,-10.29921031082,2.07169248592512,1.09199302773252,26.2693296433666,50.0758624323859,0,197.330429891624
-4.02350525864123,-0.20250360905967,5.17741884284124,-9.81829440759107,1.90392982811958,1.31289733479582,14.7629308718156,34.2108492678306,0,233.13457923477
-4.17819238382613,-0.181535303423248,5.03028284166563,-10.5397174604659,2.09416661095304,1.06459590800885,24.919089886498,69.9825873100546,0,193.877500562579
-4.32750333941341,-0.184340196848369,5.09581949160791,-10.5895765974811,2.05697780667353,1.37230836782579,12.0924891156013,33.1689160503065,0,243.919018358362
-3.92436900002223,-0.209202876716382,4.68810397890903,-10.9464630205744,1.87891767612531,0.870988817064014,27.0269970772228,30.6026709051114,0,275.589679033871
-4.27594749603658,-0.209540887851863,5.39573202715446,-10.0276720802764,2.0795828788202,0.788031703179059,23.9255654144016,67.669544331917,0.345030664234614,611.763874595385
-3.88478471222854,-0.216059951100903,4.5746494692267,-9.09294347164699,1.99987937944898,0.805846883167872,26.7122328667465,45.4991768626518,0,133.714207060874
-4.1460169502045,-0.217100747609333,5.26719327960715,-10.9931728442726,2.03269303737305,1.39614369649395,24.0717768371665,68.7596235933151,0,277.378918137733
-4.32155020187166,-0.206563820569946,5.38575382163506,-10.2709988204094,1.98781229753139,1.33018569468562,9.14068779233785,28.9974149234033,0,232.613760622775
-3.90387795145112,-0.20557794690599,4.61946943362586,-9.59224148954231,2.02555772375454,1.42043773634624,26.2799713941727,51.5824898506059,0,285.384064211822
-4.23771208118898,-0.198244345206342,5.03595802615678,-10.428451387225,2.16751031771807,1.14301523149615,15.9555592995115,41.6871441983139,0,194.650638797357
-4.09515016005708,-0.203218050668406,5.18683647111069,-9.54043281340381,2.14177236086201,1.13512514615238,19.6376501970269,26.3469356658195,0.0416640904962583,678.90492568496
-3.78895140147149,-0.206614828359594,4.81574949649165,-9.02740106801016,1.93423743685503,0.998533116230507,19.5526970572314,64.285983402641,0.277336198772248,764.577210523943
-4.00876476835062,-0.190267069890688,4.99176388982986,-9.33185801261214,2.15599875317337,1.25247459299692,17.3647762244935,37.2529308497592,0,223.393078245311
-4.28077821320136,-0.205021941502991,4.77968620328148,-9.37427323377278,1.82312924642684,1.06985315834644,15.3358141533634,32.9157797635809,0,180.096274500972
-4.19199355127138,-0.204086378760758,5.0076746880067,-9.64328828308798,2.14847534344744,1.34660452522625,16.2796259856163,0,0,344.05497733533
-4.25555329080438,-0.203384176201245,5.34967849104425,-10.8113756998183,2.06938821849863,0.868409955006404,27.5817272161627,60.1402828527838,0,145.946518844973
-3.64062236853771,-0.192277734753456,5.11484789895563,-10.8952837946557,2.1776239751239,1.41081482843257,19.5040524144541,61.8983274965276,0.202620603333181,1025.07325484438
-3.82226591491378,-0.214753162325021,5.04704020194995,-10.9781040888103,1.85314133026632,1.42001940225428,15.0028024408946,39.316239815642,0,260.126089025913
-4.05818851268951,-0.197570797196482,4.99393587487271,-10.557843008226,1.97874688008263,0.982480200088814,22.3113679599501,47.8095268904735,0,164.419626268771
